id,kind,parent,label,repo,source,lane,importance,relationship,child_count,visual_radius,distance,theta_deg,x,y,z,orbit_radius,orbit_speed,phase,notes,actions,dust_policy
apex:jarvis-core,apex,,JARVIS Apex Core / Arc Hologram,WORLD_MANIFEST.sun + buildBrain + morphLiquid + faceMesh + sunFace,"manifest, jarvis_live.html",center,1.0,1.0,15,48,0,0,0,0,0,0,0,0,Largest object; central voice-reactive morphing hologram/reaction core.,"Talk, listen, pulse, command",none
planet:budget-token-governor,planet,apex:jarvis-core,Budget / Token Governor,services/token_governor.py + /budget,repo/runtime/manual seed,budget,0.56,0.56,1,25.8090808735458,427.97046493024027,54.4309905374282,121.88258202466328,113.34715951106638,-427.97046493024027,427.97046493024027,0.003978607373874236,0.6516193800630005,"Daily spend, economy mode, model/tier governance.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:voice-tts,planet,apex:jarvis-core,Voice / TTS,"/tts, Piper, XTTS, JARVIS voice modulation",repo/runtime/manual seed,voice,0.58,0.58,2,26.213597856675317,415.3111744290064,100.26761414789407,-35.74051500076728,131.09824323708713,-415.3111744290064,415.3111744290064,0.0041012445897140965,4.335111121891116,"Speech output, voice clone fallback, audio cache.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:guardian,planet,apex:jarvis-core,Guardian,"Guardian WebRTC overlay, safety rules, mum lifeline",repo/runtime/manual seed,guardian,0.68,0.68,2,28.180995480679957,355.2985119658675,83.07888029396936,19.215127244223375,104.6841643221727,-355.2985119658675,355.2985119658675,0.004771725135631146,4.679361456808073,Life/safety video monitor and secure two-way interaction.,"Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:climate,planet,apex:jarvis-core,Climate,"services/climate_relay.py, AirTouch/Daikin bridge",repo/runtime/manual seed,guardian,0.6,0.6,2,26.614227078705877,402.8611883413661,220.5866443440072,-145.62841346658638,-82.8237158102118,-402.8611883413661,402.8611883413661,0.004227547865324682,2.6541020254320338,"Home climate intent, zones, heating/cooling actions.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:jarvis-live-ui,planet,apex:jarvis-core,JARVIS Live UI,server/jarvis_live.html + dashboard shell,repo/runtime/manual seed,ui,0.96,0.96,5,33.30486167285259,228.16810924733153,-2.8647889756541165,80.57941413429837,-2.618278626454195,-228.16810924733153,228.16810924733153,0.007134154287062881,6.177195594703667,"Major visual/interaction destination: Apex Core, Three.js, camera, HUD, dock, fly-to, panels.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:glb-media-studio,planet,apex:jarvis-core,GLB / Media Studio,"/library, media_gen, generated GLBs, Asset Forge",repo/runtime/manual seed,media,0.7,0.7,3,28.564439031411585,344.0092963730861,117.45634800181875,-70.10707512470783,89.13618398596459,-344.0092963730861,344.0092963730861,0.004918012440654395,2.561201901210196,"Generated models, image studio, GLB loader, asset previews.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:underworld,planet,apex:jarvis-core,Underworld,underworld/ web + backend + scene components,repo/runtime/manual seed,underworld,0.5,0.5,2,24.570338612740564,467.14399083747645,151.83381570966816,-210.03117086926267,74.97211849081219,-467.14399083747645,467.14399083747645,0.003631471144641062,2.8411458537218057,Underworld game/world layer and minion/scene system.,"Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:knowledge-ontology,planet,apex:jarvis-core,Knowledge / Ontology,"server/data/brain.db, /graphdata, WORLD_MANIFEST.domains",repo/runtime/manual seed,knowledge,0.92,0.92,5,32.60156319737825,240.82150089258224,-54.4309905374282,51.43803499493898,-46.85639589687172,-240.82150089258224,240.82150089258224,0.00678016564238567,0.370522131694577,Major ontology and graph navigation domain. Documents remain dust unless selected/searched.,"Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:documents-ingestion,planet,apex:jarvis-core,Documents / Ingestion,"Document Ingestor, scraper engines, OCR docs, Document objects",repo/runtime/manual seed,knowledge,0.74,0.74,2,29.322267040545505,322.2243997754025,83.07677351260963,16.63935350003378,90.33267732884374,-322.2243997754025,322.2243997754025,0.005223352249681698,5.719076381715795,Document pipeline as domain; individual documents are dust unless promoted.,"Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:correlation-graph,planet,apex:jarvis-core,Correlation / Graph,"services/correlator.py, graph_stream.py, GraphCanvas, PlaneGraph",repo/runtime/manual seed,knowledge,0.72,0.72,2,28.944826799113365,332.98060389565137,220.58453756264748,-110.05384987056851,-62.21526136770771,-332.98060389565137,332.98060389565137,0.0050685446640245085,1.1446188873804,"Entity dedupe, ont_links, stream, layout engine, graph policy.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:agent-os,planet,apex:jarvis-core,Agent OS,server/agent.py + /agent/tools + services/aip_tools.py,repo/runtime/manual seed,intelligence,0.84,0.84,2,31.168609313373313,273.07653047875647,14.32394487827058,104.35320842563738,17.457559509470624,-273.07653047875647,273.07653047875647,0.006059071359414536,2.6126943559410383,"Tool registry, planner/executor, governed actions, approvals.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:inference-fabric,planet,apex:jarvis-core,Inference Fabric,services/tiered_llm.py + services/llm_gate.py + routing metrics,repo/runtime/manual seed,intelligence,0.82,0.82,2,30.804496775409227,282.22407243177025,151.83170892830842,-99.81808612658108,35.06548593946671,-282.22407243177025,282.22407243177025,0.005884304607988534,5.7595332232121965,"Tiered LLM calls, routing, model selection, GPU/local fallback.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:self-development,planet,apex:jarvis-core,Self-Development,"/suggestions, /proposal, /upgrade, FEATURES.md",repo/runtime/manual seed,intelligence,0.8,0.8,4,30.437888821909063,291.73499024756927,289.3394729783463,39.41781065033978,-73.77323563815295,-291.73499024756927,291.73499024756927,0.00571307372027269,5.685496934623507,"Upgrade suggestions, proposals, build execution, rollback, scheduler.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:infrastructure,planet,apex:jarvis-core,Infrastructure,"/metrics vps + box, Hostinger VPS, Vast GPU 2x4090",repo/runtime/manual seed,infrastructure,0.88,0.88,4,31.889647383967482,255.99442428596694,48.70141258611997,64.33692368269702,47.850110384054844,-255.99442428596694,255.99442428596694,0.006417063921901091,4.119554895881752,"Compute, GPU, VPS, PM2, Docker, storage, network health.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
planet:automation-runners,planet,apex:jarvis-core,Automation / Runners,server/dashboard.py RUNNER_SET + TASKS + PM2 workers,repo/runtime/manual seed,automation,0.93,0.93,6,32.778177068995106,237.38692991280823,-20.05352282957881,81.12550982133138,-19.275391603649695,-237.38692991280823,237.38692991280823,0.006870342698883021,0.3105526328417043,"Major running automation system: knowledge builder, correlator, ingestor, live producer, feedback, heavy worker.","Focus planet, show moons, breadcrumb",no dust directly; dust belongs under moons
moon:apex-core,moon,planet:jarvis-live-ui,Apex Core / Arc Hologram,jarvis_iron_man_helmet.glb + liquid metal face + reactor stack,repo/runtime/manual seed,local,1.0,1.0,0,13.988041902598086,local,0.0,local orbit,local orbit,local orbit,65.29290357545068,0.028440378511071042,5.11394255049903,Central morphing hologram and voice-reactive reactor.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:three-universe,moon,planet:jarvis-live-ui,Three.js Universe,server/jarvis_live.html initUniverse/buildBrain/buildDomainPlanets,repo/runtime/manual seed,local,0.94,0.94,0,13.755853726282727,local,81.74028251722399,local orbit,local orbit,local orbit,65.06071539913532,0.02750485244572574,1.7507293817250464,"Renderer, scene, camera, post FX, body map.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:camera-system,moon,planet:jarvis-live-ui,Camera / Navigation,OrbitControls + flyToQuery + flyToBody + flyHome,repo/runtime/manual seed,local,0.9,0.9,0,13.598755321609197,local,163.48056503444798,local orbit,local orbit,local orbit,64.90361699446179,0.02687983815440865,3.388290968387979,Home/focus/search camera modes and tweening.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:search-flyto,moon,planet:jarvis-live-ui,Search / Fly-To,"flyToQuery, bodyMap, graphdata selectNode",repo/runtime/manual seed,local,0.86,0.86,1,13.439688955919985,local,245.22084755167197,local orbit,local orbit,local orbit,68.74455062877257,0.025478495382903022,6.176875885660713,Intent search and hierarchical camera flight.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:hud-dock,moon,planet:jarvis-live-ui,HUD / Dock / Panels,"top bar, dock, glass panels, command bar",repo/runtime/manual seed,local,0.82,0.82,0,13.278536616797087,local,326.96113006889595,local orbit,local orbit,local orbit,64.58339828964968,0.02562657046269995,4.778413562634643,"DOM overlays, dock, glass cards, drag-to-pin.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:knowledge-builder,moon,planet:automation-runners,Knowledge Builder,jarvis-batch-loader,repo/runtime/manual seed,local,0.9,0.9,0,13.383703983763388,local,0.0,local orbit,local orbit,local orbit,64.1618810527585,0.02703476231213022,1.5163962525264953,Enriches topics into notes via LLM tier ladder.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:cross-correlator,moon,planet:automation-runners,Cross-Correlator,jarvis-correlator,repo/runtime/manual seed,local,0.86,0.86,0,13.227153100847321,local,69.74028251722399,local orbit,local orbit,local orbit,64.00533016984242,0.026404919330447415,3.482107224576318,Entity dedupe and canonical linking.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:document-ingestor,moon,planet:automation-runners,Document Ingestor,jarvis-ingestor,repo/runtime/manual seed,local,0.82,0.82,0,13.068549232176737,local,139.48056503444798,local orbit,local orbit,local orbit,63.84672630117184,0.025773987834876333,4.430248716410237,Fresh arXiv/OCR/document ingestion.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:live-data-producer,moon,planet:automation-runners,Live Data Producer,jarvis-orchestrator,repo/runtime/manual seed,local,0.8,0.8,0,12.988437629411868,local,209.22084755167197,local orbit,local orbit,local orbit,63.766614698406975,0.025458110694373304,1.509719046758233,"Live weather, air, quake, crypto measurements.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:self-learning-loop,moon,planet:automation-runners,Self-Learning Loop,jarvis-feedback,repo/runtime/manual seed,local,0.78,0.78,0,12.907763211026479,local,278.96113006889595,local orbit,local orbit,local orbit,63.68594028002158,0.025141957605201784,4.213822888006812,Converts failures/errors into lessons.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:heavy-worker,moon,planet:automation-runners,Heavy Worker,jarvis-worker,repo/runtime/manual seed,local,0.72,0.72,0,12.662171953690605,local,348.70141258612,local orbit,local orbit,local orbit,63.44034902268571,0.024191830278260558,3.4326151479354325,Autobuild/enrich/proactive background loops.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:measurements,moon,planet:knowledge-ontology,Measurements,ont_object type=Measurement,repo/runtime/manual seed,local,0.88,0.88,1,13.23398458169662,local,0.0,local orbit,local orbit,local orbit,67.83554777907486,0.02597058383760119,4.927414921631156,Live measurement domain; individual measurements are dust unless active.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:knowledge-graph,moon,planet:knowledge-ontology,Knowledge Graph,"/graphdata, ont_link, graph stream",repo/runtime/manual seed,local,0.86,0.86,2,13.155883160646184,local,81.74028251722399,local orbit,local orbit,local orbit,69.41430060751681,0.025355281702274426,1.7613404912428205,Bounded graph for navigation and relationship scoring.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:topics,moon,planet:knowledge-ontology,Topics,ont_object type=Topic,repo/runtime/manual seed,local,0.84,0.84,0,13.077271460188676,local,163.48056503444798,local orbit,local orbit,local orbit,63.678834657566924,0.02614023361859267,2.6682088918086406,Topic objects and relationships; low-level topics are dust.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:ontology-objects,moon,planet:knowledge-ontology,Ontology Objects,ont_object register,repo/runtime/manual seed,local,0.82,0.82,0,12.998133874072717,local,245.22084755167197,local orbit,local orbit,local orbit,63.59969707145096,0.025823994031009902,4.974668057742089,Object types and counts.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:recent-learning,moon,planet:knowledge-ontology,Recent Learning,learning.recent_notes + recent_topics,repo/runtime/manual seed,local,0.68,0.68,2,12.42793225234925,local,326.96113006889595,local orbit,local orbit,local orbit,68.68634969921987,0.02260974466310857,0.41791455516170567,"Recent knowledge as meteorites, older entries as dust.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:vast-gpu-box,moon,planet:infrastructure,Vast GPU Box,"_box metrics, Ollama /api/ps",repo/runtime/manual seed,local,0.92,0.92,1,13.096347524437206,local,0.0,local orbit,local orbit,local orbit,66.98599490840469,0.02678272055166515,5.082870654714045,"2x4090 VRAM, resident models, endpoint reachability.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:vps-server,moon,planet:infrastructure,VPS Server,"_vps metrics, Hostinger",repo/runtime/manual seed,local,0.86,0.86,1,12.868599964906611,local,99.74028251722399,local orbit,local orbit,local orbit,66.7582473488741,0.02585475656079228,1.8339168168464224,"CPU, RAM, disk, load, OS and host metadata.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:pm2-processes,moon,planet:infrastructure,PM2 Processes,_workers pm2 jlist,repo/runtime/manual seed,local,0.8,0.8,2,12.63635543852095,local,199.48056503444798,local orbit,local orbit,local orbit,68.1828570719808,0.02461984154287397,0.02083609204886188,"Worker status, CPU, memory, restarts, uptime.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:storage,moon,planet:infrastructure,Storage,disk_total_gb/disk_used_gb health,repo/runtime/manual seed,local,0.78,0.78,0,12.55786789024145,local,299.22084755167197,local orbit,local orbit,local orbit,62.44751527420893,0.025390034495647657,1.4799050103627194,"Disk guard, capacity, write safety.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:tool-registry,moon,planet:agent-os,Tool Registry,_agent_tools /agent/tools,repo/runtime/manual seed,local,0.86,0.86,1,12.577635615937067,local,0.0,local orbit,local orbit,local orbit,65.74624492931038,0.026052982002763403,1.8861663814226763,Agent tools and status.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:planner-executor,moon,planet:agent-os,Planner / Executor,"_agent_run, server.agent.CORE",repo/runtime/manual seed,local,0.82,0.82,0,12.426819967837496,local,189.740282517224,local orbit,local orbit,local orbit,61.59542928121081,0.026240777151642282,0.03153374194855306,Runs commands with permission engine.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:llm-router,moon,planet:inference-fabric,LLM Router,services/llm_gate.py routing_stats,repo/runtime/manual seed,local,0.84,0.84,0,12.356424877164438,local,0.0,local orbit,local orbit,local orbit,61.16092165257366,0.02667288592017252,3.2539004393431528,Inference routing and call counts.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:tiered-models,moon,planet:inference-fabric,Tiered Models,services/tiered_llm.py stats,repo/runtime/manual seed,local,0.8,0.8,0,12.206361697010864,local,189.740282517224,local orbit,local orbit,local orbit,61.01085847242009,0.026026710612275048,6.246119925260452,Tier/call/model lattice.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:upgrade-builder,moon,planet:self-development,Upgrade Builder,/upgrade route + Claude Code on VPS,repo/runtime/manual seed,local,0.86,0.86,1,12.282764067889127,local,0.0,local orbit,local orbit,local orbit,64.72065288979819,0.026258594176609626,6.163577862301566,Executes selected upgrade.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:suggestions,moon,planet:self-development,Suggestions,/suggestions + _gen_suggestions,repo/runtime/manual seed,local,0.82,0.82,1,12.135484159334167,local,99.74028251722399,local orbit,local orbit,local orbit,64.57337298124324,0.025628559706016695,3.9962848790591994,AI-generated build ideas.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:proposals,moon,planet:self-development,Proposals,/proposal?id=,repo/runtime/manual seed,local,0.76,0.76,1,11.910723602680783,local,199.48056503444798,local orbit,local orbit,local orbit,64.34861242458985,0.024681607421724334,4.262154128911101,Readable build proposal pages.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:rollback-scheduler,moon,planet:self-development,Rollback / Scheduler,FEATURES + suggested actions,repo/runtime/manual seed,local,0.7,0.7,0,11.680933302224455,local,299.22084755167197,local orbit,local orbit,local orbit,60.118822124133516,0.024509149648036688,4.112214432314556,"Rollback, scheduler, forecaster, approvals, replay.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:ocr-ingest,moon,planet:documents-ingestion,OCR / Scrape Ingest,services/jarvis_scrape.py + scrapers,repo/runtime/manual seed,local,0.82,0.82,2,11.690689497826613,local,0.0,local orbit,local orbit,local orbit,64.66981078786449,0.025609443489642513,5.9068862260962485,"Scrape/OCR batches become meteorites, pages as dust.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:document-vault,moon,planet:documents-ingestion,Document Vault,Document objects + jarvis_document_vault_book GLB,repo/runtime/manual seed,local,0.78,0.78,3,11.546855670868181,local,189.740282517224,local orbit,local orbit,local orbit,65.7973259416892,0.024735275417725813,5.1925829743666485,Document store; individual docs are dust.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:layout-engine,moon,planet:correlation-graph,Layout Engine,engine/layoutEngine + graphPolicy,repo/runtime/manual seed,local,0.8,0.8,0,11.469462648367427,local,0.0,local orbit,local orbit,local orbit,58.41428944748079,0.026598877053037845,1.7995372442655095,"Graph layout, camera, GPU picking.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:graph-stream,moon,planet:correlation-graph,Graph Stream,services/graph_stream.py,repo/runtime/manual seed,local,0.78,0.78,0,11.398222961597504,local,189.740282517224,local orbit,local orbit,local orbit,58.34304976071087,0.026267957730392536,4.14807297118641,Binary graph delta stream.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:glb-library,moon,planet:glb-media-studio,GLB Library,/library + GLB_DIR,repo/runtime/manual seed,local,0.82,0.82,2,11.388546012969517,local,0.0,local orbit,local orbit,local orbit,63.609839293873485,0.025821935205400867,0.9562156629460054,Generated GLB assets; inactive models dust.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:model-loader,moon,planet:glb-media-studio,Model Loader,enqueueGLB + GLTFLoader,repo/runtime/manual seed,local,0.76,0.76,0,11.177619451841842,local,129.740282517224,local orbit,local orbit,local orbit,57.74205848325343,0.02605534945919352,4.5738453289503935,Concurrent-capped GLB loading and fitting.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:image-studio,moon,planet:glb-media-studio,Image Studio,media_gen.py + image/3D commands,repo/runtime/manual seed,local,0.7,0.7,0,10.961972727267769,local,259.480565034448,local orbit,local orbit,local orbit,57.52641175867935,0.02505531299184069,3.0751937811890655,Image and model generation.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:life-safety,moon,planet:guardian,Life-Safety Rules,FEATURES HR7,repo/runtime/manual seed,local,0.86,0.86,0,11.372027827314069,local,0.0,local orbit,local orbit,local orbit,57.553023307994025,0.027845745204434443,1.2485275155017472,"Never break mum lifeline, voice/video safety.","Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:guardian-monitor,moon,planet:guardian,Guardian Monitor,ovGuardian iframe + setMode(guardian),repo/runtime/manual seed,local,0.84,0.84,0,11.304075380926475,local,189.740282517224,local orbit,local orbit,local orbit,57.48507086160643,0.027512463704326882,4.031904128420772,Secure two-way video.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:climate-zones,moon,planet:climate,Climate Zones,climate_relay state zones/acs,repo/runtime/manual seed,local,0.78,0.78,1,10.480452907839398,local,0.0,local orbit,local orbit,local orbit,59.09467998654527,0.026100370950998254,6.113765634816467,AirTouch/Daikin zone state.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:climate-intent,moon,planet:climate,Climate Intent,"_climate_handle, parse_intent",repo/runtime/manual seed,local,0.76,0.76,0,10.414477314381825,local,189.740282517224,local orbit,local orbit,local orbit,55.0287043930877,0.026689988680753417,0.9477004966417387,I am cold / set temp / zones / status.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:tts-engine,moon,planet:voice-tts,TTS Engine,Piper + XTTS + /tts,repo/runtime/manual seed,local,0.78,0.78,1,10.32268857816044,local,0.0,local orbit,local orbit,local orbit,58.53628643483576,0.026224564741859656,0.3612543627955018,Voice synthesis pipeline.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:voice-modulator,moon,planet:voice-tts,Voice Modulator,"_modulate ffmpeg, semitones, tempo",repo/runtime/manual seed,local,0.72,0.72,0,10.12628258391107,local,189.740282517224,local orbit,local orbit,local orbit,54.339880440586384,0.02613919264548484,3.3009688089006315,Pitch/tone shaping.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:budget-state,moon,planet:budget-token-governor,Budget State,token_governor.state(),repo/runtime/manual seed,local,0.76,0.76,1,10.099413613166574,local,0.0,local orbit,local orbit,local orbit,57.90849448671237,0.026017879406675236,4.145224720887547,Daily spend and economy flag.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:underworld-web,moon,planet:underworld,Underworld Web,underworld/web/src/components,repo/runtime/manual seed,local,0.7,0.7,0,9.429185060361613,local,0.0,local orbit,local orbit,local orbit,51.999523673102175,0.026353226358994494,4.670066016813523,Underworld scene UI.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
moon:underworld-backend,moon,planet:underworld,Underworld Backend,underworld-backend PM2,repo/runtime/manual seed,local,0.66,0.66,0,9.30304775057173,local,189.740282517224,local orbit,local orbit,local orbit,51.87338636331229,0.025648915168335215,5.09534935324769,Underworld API service.,"Focus moon, show top meteorites, reveal dust cloud",may own instanced dust cloud
met:critical-health-alert,meteorite,moon:vps-server,Critical health alert,health.alerts[],metrics/tasks/search/runtime,local,0.9,0.9,4,2.737082194782389,local,0.0,local orbit,local orbit,local orbit,31.605682159689,0.06933476061932975,3.3938301497012615,Streaking red/orange meteorite; created from current health snapshot.,"Inspect meteorite, reveal satellites",active object; can expire/demote to dust
met:stopped-worker,meteorite,moon:pm2-processes,Stopped/crashed worker,workers status != online,metrics/tasks/search/runtime,local,0.88,0.88,4,2.6688850058212776,local,0.0,local orbit,local orbit,local orbit,31.305240444342225,0.06881361357938856,3.2377279648223376,Active issue object with Restart/View logs satellites.,"Inspect meteorite, reveal satellites",active object; can expire/demote to dust
met:latest-build-job,meteorite,moon:upgrade-builder,Latest build job,/tasks + /upgrade,metrics/tasks/search/runtime,local,0.86,0.86,4,2.5758134499109113,local,0.0,local orbit,local orbit,local orbit,30.85857751780004,0.06845063320260915,6.11590008934842,"Task progress, ETA, pause/cancel/clear actions.","Inspect meteorite, reveal satellites",active object; can expire/demote to dust
met:latest-suggestion,meteorite,moon:suggestions,Latest self-dev suggestion,/suggestions,metrics/tasks/search/runtime,local,0.76,0.76,4,2.4522203869337704,local,0.0,local orbit,local orbit,local orbit,30.587704546267936,0.06443800635288657,2.5859145462310944,Promoted suggestion with Build/Open Proposal satellites.,"Inspect meteorite, reveal satellites",active object; can expire/demote to dust
met:latest-proposal,meteorite,moon:proposals,Selected proposal,/proposal?id=,metrics/tasks/search/runtime,local,0.72,0.72,4,2.3694809810921065,local,0.0,local orbit,local orbit,local orbit,30.28020458377289,0.0630296087568305,0.9289879750143174,Readable proposal item.,"Inspect meteorite, reveal satellites",active object; can expire/demote to dust
met:recent-glb,meteorite,moon:glb-library,Latest generated GLB,glb.recent / library,metrics/tasks/search/runtime,local,0.72,0.72,4,2.265600653679011,local,0.0,local orbit,local orbit,local orbit,29.65414666664853,0.06369147377720011,2.9702144813611233,Promoted generated asset.,"Inspect meteorite, reveal satellites",active object; can expire/demote to dust
met:ocr-batch,meteorite,moon:ocr-ingest,Latest OCR/scrape batch,scrape/ingest batch,metrics/tasks/search/runtime,local,0.7,0.7,4,2.307178958145718,local,0.0,local orbit,local orbit,local orbit,29.99786845597233,0.06245407522385773,2.2919870001348555,Batch-level meteorite; raw docs remain dust.,"Inspect meteorite, reveal satellites",active object; can expire/demote to dust
met:search-result,meteorite,moon:search-flyto,Promoted search result,search index hit,metrics/tasks/search/runtime,local,0.82,0.82,4,2.777787531151816,local,0.0,local orbit,local orbit,local orbit,32.2174764870718,0.06530969885018958,4.589617733412306,Temporary meteorite created from a dust hit.,"Inspect meteorite, reveal satellites",active object; can expire/demote to dust
met:recent-note,meteorite,moon:recent-learning,Recent learned note,learning.recent_notes,metrics/tasks/search/runtime,local,0.62,0.62,4,2.3722402755104612,local,0.0,local orbit,local orbit,local orbit,30.80017252785971,0.058195175680805865,2.791528608347111,Recent note is meteorite briefly; old notes are dust.,"Inspect meteorite, reveal satellites",active object; can expire/demote to dust
met:graph-ingest-spike,meteorite,moon:knowledge-graph,Graph ingest spike,graphdata / ont_link delta,metrics/tasks/search/runtime,local,0.68,0.68,4,2.5753186971444664,local,0.0,local orbit,local orbit,local orbit,31.73120185779065,0.05987701205020002,5.3316480650296745,Live graph change event.,"Inspect meteorite, reveal satellites",active object; can expire/demote to dust
met:budget-warning,meteorite,moon:budget-state,Budget warning/economy mode,budget/economy_forced,metrics/tasks/search/runtime,local,0.72,0.72,4,2.0091448072218574,local,0.0,local orbit,local orbit,local orbit,28.10855842038843,0.06541912446194002,1.732812466632302,Token/cost warning meteorite.,"Inspect meteorite, reveal satellites",active object; can expire/demote to dust
